product_name_clean,date,price,main_category,sub_category,discount
ورق عنب من أوليفيتا,2026-05-11,43.0,Fresh Foods,Chilled Food Counter,0.0
لانشون لحم ريتش,2026-05-11,125.0,Fresh Foods,Chilled Food Counter,0.0
أطياب لانشون بالزيتون - 230 جم,2026-05-11,230.0,Fresh Foods,Chilled Food Counter,0.0
أطياب لانشون بقري - 230 جم,2026-05-11,230.0,Fresh Foods,Chilled Food Counter,0.0
روستو رومي مدخن من حلواني,2026-05-11,192.0,Fresh Foods,Chilled Food Counter,0.0
مخلل مخصوص أوليفيتا,2026-05-11,10.0,Fresh Foods,Chilled Food Counter,0.0
لانشون لحم كوكي بالفلفل الأسود,2026-05-11,52.0,Fresh Foods,Chilled Food Counter,0.0
ثمار ثومية بالشطة - 250 جرام,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
لانشون لحم كوكي سادة,2026-05-11,60.0,Fresh Foods,Chilled Food Counter,0.0
لانشون فراخ بالزيتون من اللحيمي,2026-05-11,68.0,Fresh Foods,Chilled Food Counter,0.0
زيتون أخضر مخلي أوليفيتا,2026-05-11,90.0,Fresh Foods,Chilled Food Counter,0.0
إيجي سويس رومي مدخن - 300 جرام,2026-05-11,,Fresh Foods,Chilled Food Counter,0.0
رول لانشون بقري دايم - 250 جرام,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
سلامي مجفف من المراعي,2026-05-11,117.0,Fresh Foods,Chilled Food Counter,0.0
لانشون لحمة بقري من المراعي,2026-05-11,117.0,Fresh Foods,Chilled Food Counter,0.0
لانشون بقري بالزيتون من اللحيمي,2026-05-11,17.0,Fresh Foods,Chilled Food Counter,0.0
لانشون لحم كوكي بالزيتون,2026-05-11,52.0,Fresh Foods,Chilled Food Counter,0.0
سي ستار رنجة مدخنة - 1 قطعة,2026-05-11,70.0,Fresh Foods,Chilled Food Counter,0.0
حلواني روز بيف مدخن,2026-05-11,222.0,Fresh Foods,Chilled Food Counter,0.0
رومي مدخن فاخر سويس تشويس - 200 جم,2026-05-11,200.0,Fresh Foods,Chilled Food Counter,0.0
رول لانشون دايم بقري بالبسطرمة - 250 جرام,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
أطياب لانشون دجاج - 230 جم,2026-05-11,230.0,Fresh Foods,Chilled Food Counter,0.0
قرنبيط مخلل اوليفيتا,2026-05-11,7.0,Fresh Foods,Chilled Food Counter,0.0
فصوص رومي غنية بالزعتر,2026-05-11,11.0,Fresh Foods,Chilled Food Counter,0.0
بصارة ثمار - 250 جرام,2026-05-11,250.0,Fresh Foods,Chilled Food Counter,0.0
قرنبيط خليط,2026-05-11,7.0,Fresh Foods,Chilled Food Counter,0.0
سلطة الرنجة المدخنة سي ستار - 390 جرام,2026-05-11,390.0,Fresh Foods,Chilled Food Counter,0.0
رومي مدخن سويس تشويس - 200 جم,2026-05-11,200.0,Fresh Foods,Chilled Food Counter,0.0
فيشر مان معجون كافيار - 100 جم,2026-05-11,100.0,Fresh Foods,Chilled Food Counter,0.0
تيست بيور سوسيس إيطالي - 400 جرام,2026-05-11,400.0,Fresh Foods,Chilled Food Counter,0.0
لانشون بقرى سادة سويس تشويس - 200 جم,2026-05-11,200.0,Fresh Foods,Chilled Food Counter,0.0
